ct10_id,Median Household Income
25021403300,153182
25021403400,113023
25021403500,96494
25021404100,140870
25021404201,214659
25021404202,150156
25021404301,180000
25021404302,101571
25021404400,122885
25021405100,184646
25021406101,115063
25021406102,132015
25021407100,90360
25021408101,110158
25021408102,95469
25021409101,126750
25021409102,118644
25021410100,91098
25021410300,106277
25021410400,76389
25021411100,96554
25021411200,75750
25021411301,96125
25021411302,85461
25021412100,123750
25021412200,122656
25021412300,117750
25021413100,83824
25021413200,69722
25021413300,82159
25021413401,66768
25021413402,72373
25021413500,69792
25021414100,125119
25021414200,147399
25021414300,93229
25021415101,90571
25021415102,81961
25021415200,81223
25021415300,125026
25021416101,103542
25021416102,84635
25021416200,101773
25021416300,105017
25021416400,115972
25021417100,70293
25021417200,61832
25021417300,63893
25021417400,94038
25021417501,72782
25021417502,57579
25021417601,64077
25021417602,47308
25021417701,51100
25021417702,76912
25021417801,85406
25021417802,23494
25021417901,34482
25021417902,50567
25021418002,69375
25021418003,83116
25021418004,36979
25021418101,72538
25021418102,62690
25021418200,74018
25021419100,93117
25021419200,84559
25021419300,65000
25021419400,62109
25021419500,93397
25021419600,86316
25021419700,79330
25021419800,77093
25021420100,58632
25021420201,69531
25021420202,64842
25021420301,64955
25021420302,67938
25021421100,55556
25021421200,76685
25021422100,96708
25021422200,58048
25021422301,80078
25021422302,74414
25021422400,63275
25021422501,60000
25021422502,52861
25021422600,85690
25021422700,73716
25021422800,56809
25021423100,117831
25021440100,81371
25021441202,122857
25021441203,74904
25021441204,106734
25021442101,85000
25021442102,91941
25021442103,115446
25021442201,130302
25021442202,76325
25021443101,83890
25021443102,82755
25021456101,93866
25021456102,58966
25021456200,82708
25021456301,62958
25021456302,50376
25021456401,57083
25021456402,96083
25021457100,72880
25021457200,118242
25023500101,83458
25023500103,75000
25023500104,59695
25023501101,75045
25023501102,101023
25023501201,128625
25023501202,100750
25023502101,62797
25023502102,63432
25023502200,67162
25023503101,119427
25023503102,86971
25023504101,101220
25023504102,116923
25023505101,97583
25023505102,108300
25023505200,68404
25023506101,98784
25023506102,108125
25023506202,103587
25023506203,88438
25023506204,77245
25023507101,115489
25023507103,139856
25023507104,112188
25023508101,79200
25023508102,80467
25023508200,89167
25023509101,75176
25023509102,80273
25023510100,70670
25023510200,72738
25023510300,30016
25023510400,46458
25023510501,50031
25023510502,39343
25023510503,51781
25023510600,69819
25023510700,62111
25023510800,39243
25023510900,17131
25023511000,60044
25023511100,73056
25023511200,40727
25023511301,59333
25023511302,63558
25023511400,41696
25023511500,50135
25023511600,41419
25023511701,66477
25023511702,66029
25023520100,82587
25023520201,60329
25023520202,88204
25023521101,72273
25023521102,82143
25023521201,61224
25023521202,82155
25023522101,90855
25023522102,86948
25023523100,80182
25023523201,101012
25023523202,78571
25023524101,84939
25023524102,70833
25023525101,86914
25023525104,99167
25023525203,79830
25023525204,114654
25023525300,0
25023526100,83522
25023530100,70763
25023530200,54000
25023530300,54757
25023530400,77639
25023530500,56597
25023530600,81216
25023530700,80208
25023530801,82323
25023530802,78536
25023530901,76364
25023530902,106382
25023540101,92396
25023540102,93490
25023540103,96786
25023541100,98728
25023542101,93408
25023542102,83611
25023542200,71498
25023542300,59112
25023543100,93882
25023544100,84510
25023544200,58929
25023545100,60278
25023545200,55315
25023545300,44176
25023545400,51858
25023560100,82065
25023561100,87793
25023561200,40000
25023990003,0
25025000100,53699
25025000201,64792
25025000202,53542
25025000301,89236
25025000302,78198
25025000401,35104
25025000402,55459
25025000502,46205
25025000503,49531
25025000504,33444
25025000601,54635
25025000602,26648
25025000701,51354
25025000703,20129
25025000704,44774
25025000802,36881
25025000803,28304
25025010103,14953
25025010104,29818
25025010203,35303
25025010204,31389
25025010300,27438
25025010403,16786
25025010404,16735
25025010405,13580
25025010408,51078
25025010500,42099
25025010600,75547
25025010701,98786
25025010702,90068
25025010801,154402
25025010802,88370
25025020101,94390
25025020200,66944
25025020301,74000
25025020302,93674
25025020303,91136
25025030100,55278
25025030200,56082
25025030300,122309
25025030400,60603
25025030500,98906
25025040100,127039
25025040200,48026
25025040300,115029
25025040401,73184
25025040600,116042
25025040801,37000
25025050101,33939
25025050200,50733
25025050300,15907
25025050400,48697
25025050500,40625
25025050600,56875
25025050700,57566
25025050901,51038
25025051000,42301
25025051101,53750
25025051200,46890
25025060101,82500
25025060200,90577
25025060301,89318
25025060400,78220
25025060501,91630
25025060600,81627
25025060700,17592
25025060800,80000
25025061000,26471
25025061101,11956
25025061200,67813
25025070101,47609
25025070200,14823
25025070300,117436
25025070402,15484
25025070500,71058
25025070600,87060
25025070700,61190
25025070800,56589
25025070900,51034
25025071101,44076
25025071201,37923
25025080100,40329
25025080300,23315
25025080401,13446
25025080500,16136
25025080601,21422
25025080801,15994
25025080900,36450
25025081001,28932
25025081100,45125
25025081200,18198
25025081300,20404
25025081400,46919
25025081500,27417
25025081700,35589
25025081800,41471
25025081900,37004
25025082000,33148
25025082100,21585
25025090100,34153
25025090200,18883
25025090300,17068
25025090400,35093
25025090600,50167
25025090700,38789
25025090901,25523
25025091001,63938
25025091100,63944
25025091200,66463
25025091300,30691
25025091400,27708
25025091500,41810
25025091600,38116
25025091700,46807
25025091800,55473
25025091900,35144
25025092000,44796
25025092101,48700
25025092200,45848
25025092300,36765
25025092400,26207
25025100100,22375
25025100200,41898
25025100300,45685
25025100400,52930
25025100500,46605
25025100601,53616
25025100603,63594
25025100700,68467
25025100800,60813
25025100900,56125
25025101001,62446
25025101002,36128
25025101101,58672
25025101102,32854
25025110103,58935
25025110201,54263
25025110301,72159
25025110401,48750
25025110403,65417
25025110501,77201
25025110502,53789
25025110601,89931
25025110607,76414
25025120103,172852
25025120104,65526
25025120105,168125
25025120201,64636
25025120301,61599
25025120400,86587
25025120500,47150
25025120600,85465
25025120700,72746
25025130100,76464
25025130200,102328
25025130300,87477
25025130402,76303
25025130404,76424
25025130406,29271
25025140102,57336
25025140105,74205
25025140106,27841
25025140107,52829
25025140201,60000
25025140202,66900
25025140300,54640
25025140400,52644
25025160101,48043
25025160200,44076
25025160300,51594
25025160400,37524
25025160501,36190
25025160502,42513
25025160601,47609
25025160602,47463
25025170100,54397
25025170200,61226
25025170300,61319
25025170400,42018
25025170501,44653
25025170502,48406
25025170601,45076
25025170701,40625
