tractid00,totalpop,households,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25025030400",2222,1430,5.95,18.5,23.76,58.2302,62.67,5.93,2.86,2.36,3.07,3.71,4.29,4.57,2.93,2.86,10.86,9.86,16.14,12.57,7.79,10.14,69986,8.48,.64,1547,18.6,81.4,7.56,394214,.36,4.13,4.22,11.32,19.32,21.74,30.82,8.09,1369,32.05,25.6,,,36.08,66.06
"25025030500",2321,1349,6.23,15.35,28.22,63.09255,64.27,3.42,1.74,1.96,1.89,1.6,1.02,3.12,4.72,5.09,5.81,10.97,14.68,11.7,8.36,23.77,88775,3.12,.8,1487,40.7,59.3,9.28,502440,.62,1.85,1.73,9.51,13.58,18.02,30.37,24.32,1554,38.97,24,100,0,39.82,46.65
"25025040100",1843,1053,14.04,16.26,30.39,63.61484,65.38,8.78,4.24,3.28,.96,.96,1.64,1.25,1.25,1.25,1.93,5.88,16.2,9.64,9.35,33.37,104958,0,1.64,1086,49.48,50.52,3.04,477954,17.93,9.61,3.14,12.94,12.57,9.24,16.27,17.93,1096,18.61,19.9,48.44,4.69,41.98,35.22
"25025040200",1652,683,32.92,15.41,14.38,35.78767,30.39,12.78,6.46,6.02,8.22,6.02,1.91,1.32,4.41,5.87,6.9,6.9,8.81,5.14,3.52,15.71,45130,27.37,3.38,713,26.65,73.35,4.21,492159,30,22.34,12.13,8.3,6.17,4.26,6.81,10.43,506,37.65,20.799999,43.24,0,49.24,46.37
"25025040300",3845,1862,23.38,16.62,21.8,56.86358,53.76,4.84,2.42,2.31,2.15,1.99,1.72,5.06,4.2,3.6,5.43,7.05,12.64,11.46,9.47,25.66,91831,9.9,3.01,1977,48.5,51.5,5.82,353359,11.89,10.74,6.74,12,12.21,11.58,20,14.74,1190,31.24,20.5,21.49,3.58,47.68,39.36
"25025040400",2070,1000,24.66,17,20.45,51.00241,49.04,8.47,4.39,4.99,2.79,2.89,3.59,3.59,2.99,2.39,4.39,9.67,9.17,9.87,9.27,21.44,75226,16.63,1.6,1091,41.1,58.9,8.34,328873,11.15,14.98,11.65,19.8,11.15,6.82,15.31,9.15,908,24.13,21,21.31,4.1,54.82,33.66
"25025040600",2131,1038,18.9,11.43,21.61,55.09158,47.51,5.57,2.59,1.82,2.88,2.59,1.73,1.34,1.25,1.92,8.06,7.97,18.14,12.86,9.5,21.59,90148,5.49,1.54,1091,59.73,40.27,4.86,368781,4,8,7,14.75,20.25,14.25,14.25,17.5,1215,30.39,21.9,31.19,0,47.72,29.08
"25025040800",3654,1714,25.92,14.43,25.91,60.67992,51.08,13.96,7.1,7.04,8.03,6.11,2.62,1.92,2.15,2.5,7.21,5.35,4.25,3.66,4.89,23.21,46825,32.62,6.81,1797,23.45,76.55,4.62,674520,28.54,17.63,7.5,5.1,7.04,5.03,8.51,20.65,645,30.2,22.799999,11.93,0,32.66,54.79
"25025050100",4587,1716,32.13,5.93,13.93,19.2205,8.97,12.72,6.18,5.13,6.36,6.18,5.25,6.94,4.67,3.33,7.7,11.61,9.92,5.43,3.68,4.9,39352,16.62,2.86,1779,24.65,75.35,3.54,239451,14.29,14.45,9.79,16.85,22.23,12.68,6.98,2.73,966,39.24,27.6,22.09,0,49.06,47.32
"25025050200",4897,1617,31.08,5.93,13.75,12.08989,6.57,12.35,5.74,3.77,5.19,6.42,7.54,7.6,5.99,5.13,9.82,9.51,8.65,4.82,3.34,4.2,40807,19.68,3.15,1693,26.35,73.65,4.49,224164,5.1,9.09,7.65,30.5,27.19,13.59,6.46,.51,985,46.1,29.4,41.51,0,48.74,50.46
"25025050300",2307,823,39.18,7.11,10.08,15.21739,4.84,27.26,13.15,10.13,5.79,5.31,6.03,7.24,4.83,2.9,3.86,4.95,5.55,1.45,.72,.48,19471,43.33,15.44,874,4.86,95.14,5.84,191696,41.95,24.16,9.22,12.86,7.27,2.47,1.95,0,341,33.38,25.1,,,58.97,62.78
"25025050400",2525,952,22.76,4.57,13.81,17.25626,15.22,9.87,4.88,4.35,4.46,5.2,6.05,8.07,7.32,6.79,10.72,11.25,12.85,4.99,1.91,1.27,44163,11.91,3.4,1007,25.32,74.68,5.46,244591,9.96,12.78,9.66,22.59,23.63,13.52,6.24,1.63,978,39.69,28.4,38.18,0,42.68,48.19
"25025050500",1897,666,23.66,5.84,13.07,25.1269,11.99,7.07,3.98,5.89,7.36,6.48,4.42,4.86,6.33,7.22,10.16,11.93,14.14,4.57,2.65,2.65,46433,17.94,1.91,691,19.52,80.48,3.62,159769,1.24,9.92,9.92,38.22,30.37,9.3,1.03,0,973,40.21,25.799999,,,50.41,46.12
"25025050600",2081,732,22.58,2.01,13.35,7.561728,3.43,7.6,4.14,5.11,4.28,4.42,4.97,5.52,6.49,6.63,7.73,11.19,16.99,5.94,3.31,5.52,52543,12.66,4.14,776,18.99,81.01,5.67,181008,7.37,9.87,7.52,24.76,22.1,14.26,11.76,2.19,1024,42.48,25.6,0,0,44.85,54.89
"25025050700",4042,1433,28.57,4.76,15.54,14.56416,5.64,13.28,6.36,4.75,5.03,4.26,2.8,7.27,5.1,4.26,9.92,13.28,13.35,5.94,2.66,1.82,44933,13.89,5.24,1514,26.17,73.83,5.35,268131,6.14,11.98,10.35,28.57,27.42,12.08,3.36,0,956,37.24,24.700001,36.59,14.63,40.9,48.36
"25025050900",3697,1326,28.51,7.75,12.21,13.69509,7.16,11.85,5.96,5.74,5.13,5.58,6.19,5.13,4.3,3.85,8.91,12.3,12.38,5.96,3.7,3.01,44610,15.02,2.87,1400,32.96,67.04,5.29,221593,3.89,14.74,14.15,19.22,23.82,14.03,9.08,1.06,975,42.99,29,3.77,13.21,56.55,42.01
"25025051000",3914,1682,26.99,7.96,10.51,23.39004,11.61,10.78,5.91,7.92,7.8,6.94,5.42,5.42,3.05,1.95,7.55,8.59,12.85,6.03,4.08,5.67,39074,12.25,3.23,1726,32.7,67.3,2.55,230387,12.14,14.93,11.08,18.98,24.18,13.01,5.49,.19,917,45.99,30.1,7.05,0,64.06,29.64
"25025051100",5797,2176,30.27,8.66,8.66,29.43089,19.93,6.49,3.5,4.28,6.17,6.31,5.57,4.42,4.88,4.83,7.55,10.64,16.16,8.01,4.93,6.17,55932,11.11,5.66,2302,41.31,58.69,5.47,274759,11.73,14.14,10.48,21.63,23.71,12.81,5.41,.08,940,28.74,23.299999,28.53,12.01,56.32,33.55
"25025051200",2669,1203,23.76,8.59,9.02,22.54987,11.45,15.42,7.47,5.94,4.98,4.18,3.13,4.1,4.02,4.18,11.89,11.33,11.73,5.3,2.81,3.61,44414,10.14,2.09,1316,30.67,69.33,8.59,229575,14.44,14.81,10.16,25.95,20.81,9.06,4.77,.12,898,31.57,23.1,30.3,9.09,59.49,39.49
"25025060100",3009,1514,23.56,11.88,11.76,40.33251,28.31,5.55,3.04,4.06,3.65,3.59,3.38,2.84,3.99,4.74,7.85,12.52,15.43,9.68,7.31,12.25,68662,1.69,.68,1609,45.38,54.62,5.9,307904,3,5.52,4.68,18.11,25.18,18.23,18.59,6.47,1170,28.69,23.1,15.09,8.81,60.09,29.61
"25025060200",2054,942,22.93,12.99,17.03,48.34544,44.11,3.39,1.75,1.64,2.26,2.26,2.05,4.21,3.08,2.46,5.13,13.55,19.4,10.99,9.14,18.58,78238,4.81,1.13,987,42.89,57.11,4.56,354712,.79,7.51,7.71,19.57,24.51,21.34,18.58,.4,1163,25.09,18.5,28.05,0,55.25,36.81
