"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"FIPS"	"Summary Level"	"Geographic Component"	"State (Census)"	"State (FIPS)"	"County"	"County Size Code"	"County Subdivision (FIPS)"	"Census Tract"	"Male Population"	"Male Population: Below poverty level"	"Male Population: At or above poverty level"	"Female Population"	"Female Population: Below poverty level"	"Female Population: At or above poverty level"	"% Male Population: Below poverty level"	"% Male Population: At or above poverty level"	"% Female Population: Below poverty level"	"% Female Population: At or above poverty level"
Geo_NAME	Geo_QName	Geo_FIPS	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUNTYSC	Geo_COUSUB	Geo_TRACT	SE_T183_001	SE_T183_002	SE_T183_003	SE_T183_004	SE_T183_005	SE_T183_006	PCT_SE_T183_002	PCT_SE_T183_003	PCT_SE_T183_005	PCT_SE_T183_006
"Census Tract 1011.01"	"Census Tract 1011.01, Suffolk County, Massachusetts"	"25025101101"	"140"	"00"	"14"	"25"	"025"	"20"	""	"101101"	1437	239	1198	1768	401	1367	16.63	83.37	22.68	77.32
"Census Tract 1011.02"	"Census Tract 1011.02, Suffolk County, Massachusetts"	"25025101102"	"140"	"00"	"14"	"25"	"025"	"20"	""	"101102"	2242	426	1816	2689	631	2058	19	81	23.47	76.53
"Census Tract 1101"	"Census Tract 1101, Suffolk County, Massachusetts"	"25025110100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110100"	2937	533	2404	3072	658	2414	18.15	81.85	21.42	78.58
"Census Tract 1102"	"Census Tract 1102, Suffolk County, Massachusetts"	"25025110200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110200"	1002	45	957	1052	173	879	4.49	95.51	16.44	83.56
"Census Tract 1103"	"Census Tract 1103, Suffolk County, Massachusetts"	"25025110300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110300"	1124	119	1005	1290	169	1121	10.59	89.41	13.1	86.9
"Census Tract 1104.01"	"Census Tract 1104.01, Suffolk County, Massachusetts"	"25025110401"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110401"	1756	297	1459	1983	421	1562	16.91	83.09	21.23	78.77
"Census Tract 1104.02"	"Census Tract 1104.02, Suffolk County, Massachusetts"	"25025110402"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110402"	1968	138	1830	2404	208	2196	7.01	92.99	8.65	91.35
"Census Tract 1105.01"	"Census Tract 1105.01, Suffolk County, Massachusetts"	"25025110501"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110501"	1591	133	1458	1694	225	1469	8.36	91.64	13.28	86.72
"Census Tract 1105.02"	"Census Tract 1105.02, Suffolk County, Massachusetts"	"25025110502"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110502"	1930	179	1751	2155	217	1938	9.27	90.73	10.07	89.93
"Census Tract 1106.01"	"Census Tract 1106.01, Suffolk County, Massachusetts"	"25025110601"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110601"	1192	15	1177	1278	43	1235	1.26	98.74	3.36	96.64
