RegionName,City,State,Metro,CountyName,X2010.02,X2010.03,X2010.04,X2010.05,X2010.06,X2010.07,X2010.08,X2010.09,X2010.10,X2010.11,X2010.12,X2011.01,X2011.02,X2011.03,X2011.04,X2011.05,X2011.06,X2011.07,X2011.08,X2011.09,X2011.10,X2011.11,X2011.12,X2012.01,X2012.02,X2012.03,X2012.04,X2012.05,X2012.06,X2012.07,X2012.08,X2012.09,X2012.10,X2012.11,X2012.12,X2013.01,X2013.02,X2013.03,X2013.04,X2013.05,X2013.06,X2013.07,X2013.08,X2013.09,X2013.10,X2013.11,X2013.12,X2014.01,X2014.02,X2014.03
East Cambridge,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,2720,2720,2720,2611,2611,2688,2700,2700,2700,2716,2700,2700,2875,3000,3078,3000,3153,3164,3045,3125,3025,2880,3003,3000,2980,3131,3150,3171,3187,3132,3094,3037,3074,2981,3100,3132,3082,3011,3100,3000,3100,3000,3000,3200
Beacon Hill,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,1850,1875,1995,1950,1995,1900,2250,2250,2300,2200,2225,2300,2275,1960,2050,1900,2100,2150,2400,2350,2500,2450,2400,2400,2500,2500,2595,2550,2600,2400,2500,2500,2600,2700,2650,2600,2550,2600,2550
Chinatown,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,2860,2829,2829,2829,3121,2495,1900,1850,2300,2400,1900,2150,2960,3600,3032,2700,2900,3320,2550,2534,2600,2200,2350,2650,2800,2650,2900,2900,2900,3000,3000,2600,2500,2700,2495,2595,3025,3250,3155,3155,3150,3000,2450,2500
West Cambridge,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2300,2048,2150,1850,2000,2300,2200,2300,2000,2000,2000,1950,1971,2200,2300,2300,2375,2600,2500,2450,2450,2400,2375,2400,2400,1795,2550,2600,2600,2495,2650,2800,2600,2800,2800,2500,2500,2300,2350
Wellington-Harrington,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,1700,1800,2200,2000,1950,1800,1950,2000,2200,2100,2100,2100,2100,2200,2400,2200,1950,2300,2300,2400,2400,2300,2500,2400,1800,2050,2300,2150,2200,2300,2250,2500,2500,2600,2250,2400,2800,2800
The Port - Area 4,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,2100,2200,2300,2500,2400,2300,1900,1900,1975,1975,2200,2100,2100,2400,2700,2700,2500,2300,2100,2000,2500,2500,2000,2300,2500,2500,2650,2525,2400,2400,2600,2500,2200,2200,2500,2500,2500,2500
West End,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,2948,2948,2948,2948,2850,2781,2605,2760,2670,2740,2715,2887,2850,3183,3300,3298,3305,3125,3245,2955,2600,2400,2775,2850,2795,2960,2940,3169,3090,3067,3035,3075,3150,3125,3115,3136,3000,3000,2825,2890,2804,2930,2928,3095
MIT,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2355,2405,2495,2355,2400,2400,2430,2495,2550,2555,2555,2480,2480,2480,2480,2480,2480,2450,2450,2310,2325,2400,2500,2550,2550,2625,2550,2680,2475,2480,2550,2550,2400,2550,2575,2855,2705,2780,2780
Aggasiz - Harvard North,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595,2050,2050,1970,1900,1880,1900,1945,1945,2100,NA,NA,NA,NA,2295,2150,2500,2085,2170,2270,2150,NA,2400,2085,2085,2150,2085,2085,2040,2150,2085,2000,1995,2085,2175,2175,2085,2085,1975
Downtown,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,2600,2880,3000,3100,3000,3295,2975,3000,2975,3000,3200,3295,3675,3065,3100,3300,3395,3395,3400,3500,3400,3400,3400,3500,3400,3600,3400,3300,3850,3600,3750,3700,3700,3700,3700,3700,3400,3880,3500
Strawberry Hill,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150,2150,2075,2075,2300,2150,2000,2300,2200,2200,1950,1950,2015,2150,2100,2000,2000,2400,2400,2400,2450,2500,2475,2395,2400,2500,2575,2575,2350,2430,2500,2400,2250,2250,2250,2275,2250,2450
Cambridge Highlands,Cambridge,MA,Boston,Middlesex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,2750,NA,NA,NA,NA,NA,NA,NA,NA,2400,2400,2400,2300,2610,2615,2605,2590,2610,2520,2610,2562,2515
Bay Village,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450,2025,2500,2400,2150,1495,2100,2100,2100,2000,1800,1800,2500,2500,1800,1095,1125,1900,2200,2350,2200,2150,2100,2200,2200,2695,2000,2200,2400,2900,2550,2200,2795,2600,2500,2300,2300,2800,2495
Haymarket,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,3295,3295,3125,NA,3100,3065,3125,2825,2800,2800,2855,3100,2600,3750,2880,3110,3900,3900,3500,3500,3900,3250,3110,3250,2600,2950,2800,3100,3100,3100,3100,3000,3000,3100,3100,3300
Downtown Crossing,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,2500,2825,3275,2950,3350,3500,3000,NA,2500,2500,2200,3000,3200,2400,2800,2230,2300,2400,2650,2650,2550,2200,2200,2150,2700,2500,2500,2800,2675,2550,2500,2500,2550,2300,2300,2350
Leather District,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100,3100,2900,2800,3000,2550,3000,NA,3500,3250,2550,3100,3000,3250,3100,3300,3300,3200,3400,2800,3200,3000,3000,2975
