tractid00,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,PCT_B25026003,pctunits_newres_2005,pctunits_newres_2000
"250171100011000352500",3947,1461,19.37,2.44,3.49,16.02,61.94,48.83,11.02,5.82,9.72,3.42,5.68,2.46,3.9,1.03,3.63,2.26,9.45,10.75,10.88,5.89,14.1,60705,18.36838,99.18,1510,37.44,62.56,3.25,452100,9.3,13.68,4.38,13.89,2.63,22.21,18.16,15.75,1319,64.99,33.5,21.92,40.43,86.25,5.69,29.72332,61.37022
"250171100011000352600",2545,1093,21.68,0,7.48,13.6,59.66,50.26,5.49,4.57,7.14,3.57,3.2,6.68,3.39,4.12,2.65,12.9,8.23,13.72,7.78,6.68,9.88,56705,17.40668,95.33,1135,22.42,77.58,3.7,452800,1.65,4.25,3.89,10.26,19.81,16.75,34.79,8.61,1401,40.92,27.5,45.27,14.43,61.3,4.17,52.10216,68.33006
"250171100011000352700",2378,1170,27.78,.86,1.46,18.43,47.54,49.03,8.12,9.57,10.51,7.86,6.15,12.22,2.22,1.71,5.56,6.24,5.38,8.46,12.48,1.79,1.7,34091,18.20858,96.58,1186,19.06,80.94,1.35,539000,14.62,14.62,16.22,11.85,16.44,10.14,12.49,3.63,863,41.18,28.1,39.68,56.7,75.87,3.28,42.01009,65.85366
"250171100011000352800",2579,1047,19.1,2.74,8.21,14.08,54.57,53.69,5.83,8.79,8.21,2.29,.86,2.58,4.49,8.12,.96,3.53,10.12,17.86,10.7,6.21,9.459999,64735,10.45828,96.08,1092,41.83,58.17,4.12,500000,0,14.46,5.92,12.54,1.74,15.33,46.69,3.31,1500,53.86,33.299999,48.16,44.71,78.85,4.81,28.26677,56.06824
"250171100011000352900",3353,1479,18.12,2.69,4.35,21.18,73.58,77.57,3.52,1.08,1.15,0,4.39,2.57,4.06,3.85,2.16,14.6,10.01,14.6,7.71,11.29,19,76887,6.799881,100,1604,49.83,50.17,7.79,623400,0,8.91,4.67,5.55,18.1,15.18,33.87,13.72,1460,34.37,24.9,34.02,9.92,75.01,4.21,26.63287,60.57262
"250171100011000353000",4332,2064,17.44,5.43,7.13,19.56,68.01,66.99,13.18,11,5.86,4.07,2.91,1.99,.68,2.18,1.21,9.25,5.33,12.5,10.56,4.17,15.12,54938,22.87627,95.16,2194,28.97,71.03,5.93,398800,15.69,16.44,2.8,.55,7.98,11.46,31.04,14.05,1393,45.43,29,30.45,18.99,74.9,6.91,37.40099,71.23763
"250171100011000353100",5596,1626,17.16,1.86,4.63,14.01,72.55,80.08,8.06,2.83,4.31,8.79,7.07,8.67,2.95,3.63,2.03,8.36,11.25,7.26,9.84,5.84,9.1,51007,14.51613,98.89,1778,5.72,94.28,8.55,389300,1.83,5.95,5.28,3.52,15.43,19.76,22.4,25.85,1478,44.36,29.299999,75.68,35.71,54.46,0,50.91398,79.05914
"250171100011000353200",3478,1681,17.79,5.84,3.42,24.36,68.85,76.45,6.31,3.21,5.12,1.25,1.55,6.54,4.94,8.51,2.86,5.41,7.79,17.91,9.1,3.03,16.48,65121,13.84341,100,1853,36.94,63.06,9.28,532000,.99,6.33,1.48,3.56,11.28,18.89,20.97,36.5,1678,54.25,35.099998,50.21,43.17,76.54,5.24,37.15392,73.44448
"250171100011000353300",4974,2021,19.99,3.4,7.39,16.41,62.74,67.39,5.39,1.19,2.57,3.66,3.07,5,1.19,4.75,2.38,7.32,7.32,11.33,13.9,12.27,18.65,90030,10.15279,100,2145,42.95,57.05,5.78,543800,5.87,3.16,5.61,4.82,13.67,12.71,27.96,26.21,1574,36.6,26.299999,39.16,26.96,75.29,7.27,29.91072,60.71429
"250171100011000353400",2727,1242,26.09,.64,10.23,21.04,57.51,71.59,.97,8.7,5.64,5.23,5.56,9.42,2.33,10.39,1.45,10.63,5.88,5.39,6.44,4.59,17.39,50345,17.01504,99.44,1365,32.61,67.39,9.01,476400,6.33,8.76,5.96,13.02,13.26,17.88,25.43,9.37,1287,50.3,30.799999,37.46,0,81.72,8.4,44.6278,84.19508
