"tractid","year","totalpop","households","pcthhchild","pctind_finance","pctind_professional","pctocc_profmanage","pctcollege","pctinc_0_10K","pctinc_10K_15K","pctinc_15K_20K","pctinc_20K_25K","pctinc_25K_30K","pctinc_30K_35K","pctinc_35K_40K","pctinc_40K_45K","pctinc_45K_50K","pctinc_50K_60K","pctinc_60K_75K","pctinc_75K_100K","pctinc_100K_125K","pctinc_125K_150K","pctinc_150K_more","medhhincome","pctpoverty","pctpublicassist","units","pctown","pctrent","pctvacant","medianvalue","pctrent_0_300","pctrent_300_600","medianrent","pctincomerent_30_more","medianpctincomerent","pctinc_mortgage_30_more","pctinc_nomortgage_30_more","pctsameres","pctrent_600_800","pctrent_800_1000","pctrent_1000_1250","pctrent_1250_1500","pctrent_1500_2000","pctrent_2000_more","pctind_info","pctunits_newres_2000","pctunits_newres","pctrent_600_750","pctrent_750_1000","pctrent_1000_more","pctunits_newres_2005","pctunits_newres_2010"
25017314100,1990,11179,4044,32.19,3.68,18.92,25.71,12.64,3.51,2.2,2.65,3.69,2.65,2.11,1.47,2.3,3.79,7.46,10.21,23.34,16.13,9.22,9.34,84652,3.6,3.79,4159,73.4,26.6,3.17,249890,7.06,10.5,1052,27.86,22.1,21.67,4.59,59.87,,,,,,,,,46.63,11.55,19.37,49.05,,
25017314200,1990,4902,1761,33.68,3.38,18.27,21.38,13.56,2.86,4.34,4.28,3.19,2.45,3.71,4.17,4.17,2.45,5.42,12.44,19.01,13.7,7.88,9.99,75501,3.28,6.05,1821,74.22,25.78,3.73,253633,5.31,8.41,1103,35.84,24.700001,16.91,9.44,63.44,,,,,,,,,37.14,9.96,16.59,53.98,,
25017314398,1990,9549,3195,36.64,3.99,19.73,30.64,22.11,1.02,2.36,2.52,2.52,2.03,2.27,2.24,3.18,2.55,4.58,8.84,21.97,16.9,11.67,15.31,91376,2.84,3.11,3281,82,18,2.65,280190,2.82,4.76,1196,21.16,21.9,21.1,3.98,63.9,,,,,,,,,40.92,6.17,10.23,71.96,,
25017315100,1990,4857,1523,38.48,4,21.58,30.93,25.92,1.13,0.92,0.92,1.26,2.05,1.66,1.13,1.92,1.66,5.31,11.67,17.37,16.45,12.47,24.07,103829,2.15,2.06,1545,91.78,8.22,0,332948,3.36,7.56,1191,26.05,25.5,22.51,1.18,68.46,,,,,,,,,34.37,10.92,17.65,56.3,,
25017315200,1990,6682,2245,36.73,7.86,20.51,31.62,26.56,2.39,3.5,2.88,1.11,1.82,1.47,1.47,2.26,3.06,5.46,8.55,14.41,16.89,13.08,21.68,103050,2.92,4.88,2304,87.18,12.82,3.52,324037,23.11,19.32,818,40.91,25.799999,21.61,0,63.94,,,,,,,,,41.52,2.27,4.17,41.29,,
25017315300,1990,970,231,3.18,0,80.6,31.9,7,20.23,27.34,23.22,7.11,2.62,1.49,0,0,1.87,1.12,3,1.87,3,3.75,3.75,13421,51.91,12.36,206,4.06,95.94,4.37,401035,43.39,34.39,296,21.7,23.6,0,0,47.82,,,,,,,,,62.95,1.06,2.12,12.17,,
25017315400,1990,6773,2251,35.47,6.98,17.69,29.77,24.03,2.2,1.23,1.33,1.55,1.14,1.32,1.47,0.82,2.1,10.42,10.28,16.77,17.87,14.53,17.05,98973,2.97,2.97,2351,90.11,9.89,2.85,286428,0,1.52,1604,38.39,27.299999,26.31,0.54,63.82,,,,,,,,,47.81,3.54,6.06,88.89,,
25017315500,1990,7984,2494,37.8,6.83,21.24,26.13,17.71,1.24,2.2,1.96,1.32,1.2,0.96,1.2,0.84,3.21,6.22,8.71,21.71,18.14,12.44,18.58,98655,1.9,5.02,2543,93.02,6.98,1.93,278586,0,2.3,1765,45.98,27.299999,22.36,1.47,68.5,,,,,,,,,36.36,5.75,9.2,82.76,,
25017316100,1990,11279,3408,40.17,5.38,18.67,27.02,20.82,1.54,2.86,2.39,1.11,1.75,1.17,0.99,1.87,2.04,4.88,9.11,21.16,16.99,12.78,19.38,98526,2.07,4.23,3455,85.94,14.06,1.36,301757,17.12,14.61,1344,27.98,24.9,17.53,1.43,76.2,,,,,,,,,27.82,2.71,4.59,58.87,,
25017316200,1990,8012,2412,42.22,5.91,21.57,21.89,18.47,1.8,1.44,1.48,1.52,1.35,1.06,1.96,2.37,2.08,4.58,10.02,21.71,16.56,13.25,18.85,98116,1.44,2.82,2451,92.93,7.07,1.39,287141,0,2.92,1405,15.79,18.5,21.66,2.63,75.16,,,,,,,,,26.57,6.43,10.53,67.25,,
