tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,inc_0_5K,inc_5K_10K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,poverty,pctpoverty,popu5,sameres,pctsameres,units_newres,pctunits_newres,college,pctcollege,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,incomerent_30_more,pctincomerent_30_more
2.502e+10,4473,2058,1408,323,"7.22",2809,2848,234,1698,"8.22","59.62",1857,"65.2",47,50,87,122,254,245,173,101,391,"2.28","2.42","4.22","5.91","12.31","11.87","8.38","4.89","18.94",65367,30,"1.45",2147,2058,709,1349,"34.45","65.55",89,"4.15",835223,1303,46,121,197,330,609,"3.41","8.97","14.6","24.46","45.14",948,22.3,69,0,20,"0","12.58",3303,291,"8.81",4349,1452,"33.39",1147,"20.9934.74",2280,"31.4349.73",73,67,64,91,71,57,56,114,"1.791.74","1.791.45","1.111.99","2.621.79","1.51.94","1.990.78","0.821.89","2.183.34",439,"4.9727.58"
2.502e+10,2883,1569,1520,351,"12.17",2450,1890,189,1111,"10","58.78",1277,"67.57",39,39,51,36,224,189,122,101,412,"2.47","2.47","3.24","2.28","14.21","11.99","7.74","6.41","26.14",79350,45,"2.86",1694,1569,695,874,"44.3","55.7",125,"7.38",891192,825,32,84,137,230,341,"3.66","9.61","15.68","26.32","39.02",938,21.9,114,29,8,"16.48","4.55",2662,142,"5.33",2790,1238,"44.37",911,"15.6842.38",1914,"27.850.33",37,37,35,38,47,61,57,50,"1.211.14","1.211.14","1.081.14","1.211.21","1.211.78","1.842.03","1.971.65","1.651.52",268,"7.2123.46"
2.502e+10,3110,1322,2291,695,"22.35",2405,1820,184,1060,"10.11","58.24",1351,"74.23",20,19,32,23,70,108,149,142,592,"1.5","1.43","2.41","1.73","5.26","8.12","11.2","10.68","44.51",134020,27,"2.03",1388,1322,902,420,"68.23","31.77",66,"4.76",891192,393,3,13,23,39,315,"0.71","3.1","5.48","9.29","75",1642,22,270,94,47,"19.62","9.81",3056,130,"4.25",2977,1974,"66.31",450,"13.0920.95",1991,"26.6156.17",11,17,33,26,26,27,19,18,"0.450.38","0.450.83","1.351.13","0.980.98","0.980.98","0.91.13","1.050.38","0.450.9",96,"4.7618.1"
2.502e+10,3451,1475,2449,895,"25.93",2583,1677,108,812,"6.44","48.42",797,"47.53",31,33,72,47,117,180,159,112,211,"2.1","2.24","4.88","3.19","7.94","12.21","10.79","7.6","14.31",65611,88,"5.97",1526,1475,541,934,"36.68","63.32",51,"3.34",427949,914,72,101,103,173,465,"7.71","10.81","11.03","18.52","49.79",1028,25.9,110,27,6,"15.98","3.55",3279,302,"9.21",3228,1806,"55.95",677,"17.6928.2",1020,"16.9622.53",53,55,53,55,82,74,52,87,"1.831.76","1.831.9","2.041.56","1.362.37","2.782.78","2.712.31","2.171.36","1.94",342,"6.3230.3"
2.502e+10,1740,766,1171,423,"24.59",1323,1051,69,547,"6.57","52.05",603,"57.37",6,9,32,30,117,80,91,61,159,"0.82","1.23","4.37","4.09","15.96","10.91","12.41","8.32","21.69",83786,27,"3.68",827,808,359,449,"44.43","55.57",19,"2.3",587472,438,0,18,41,69,310,"0","4.01","9.13","15.37","69.04",1308,26.7,25,5,0,"10","0",1716,126,"7.34",1613,949,"58.83",377,"13.3733.29",811,"28.532.8",31,26,10,21,16,12,15,17,"2.182.05","2.181.36","0.410.95","1.361.5","1.640.55","0.411.23","1.230.82","0.951.36",175,"7.5731.4"
2.502e+10,2427,1256,1364,405,"16.55",1867,1489,152,881,"10.21","59.17",1019,"68.44",36,34,51,83,169,138,108,86,264,"2.78","2.62","3.94","6.4","13.04","10.65","8.33","6.64","20.37",68997,43,"3.32",1284,1214,392,822,"32.29","67.71",70,"5.45",891192,809,39,80,115,194,381,"4.74","9.73","13.99","23.6","46.35",888,22.3,118,11,6,"6.21","3.39",2447,199,"8.13",2346,1235,"52.64",553,"20.1825.37",1486,"33.2146.38",23,29,51,57,40,47,34,47,"0.930.85","0.931.31","1.852.08","2.312.08","2.011.08","0.852.78","2.620","0.623.01",262,"9.9821.9"
2.502e+10,4037,1827,2889,994,"24.62",2945,2210,148,1007,"6.7","45.57",1160,"52.49",36,39,49,100,217,255,176,81,226,"1.98","2.15","2.7","5.51","11.96","14.06","9.7","4.47","12.46",63530,95,"5.24",1898,1827,569,1258,"31.14","68.86",71,"3.74",432405,1237,72,130,173,290,572,"5.72","10.33","13.75","23.05","45.47",991,22,117,26,6,"12.62","2.91",3931,287,"7.3",3834,2235,"58.29",762,"18.7222.99",1377,"19.1227.64",63,76,93,53,73,92,95,89,"1.761.71","1.762.43","3.21.93","1.161.76","1.982.04","1.983.09","3.092.15","2.262.65",349,"9.3818.36"
2.502e+10,2189,1002,1382,482,"22.16",1579,1370,83,686,"6.06","50.07",726,"52.99",15,17,16,30,147,135,138,95,167,"1.56","1.77","1.67","3.13","15.33","14.08","14.39","9.91","17.41",86542,62,"6.47",1069,1009,386,623,"38.26","61.74",60,"5.61",511543,623,57,63,42,70,391,"9.15","10.11","6.74","11.24","62.76",1148,21.4,100,56,0,"56","0",2150,98,"4.56",1993,830,"41.65",570,"17.2439.25",946,"27.4932.43",35,36,30,21,27,26,17,7,"1.881.77","1.881.88","1.881.25","0.831.36","1.561.25","1.251.46","1.360.42","0.420.31",88,"5.148.99"
2.502e+10,1971,954,1175,396,"19.95",1518,1285,53,590,"4.12","45.91",610,"47.47",13,14,31,52,64,121,146,110,136,"1.31","1.42","3.13","5.26","6.47","12.23","14.76","11.12","13.75",81266,26,"2.63",991,947,367,580,"38.75","61.25",44,"4.44",354337,574,39,57,62,104,311,"6.72","9.83","10.69","17.93","53.62",1053,22.2,90,37,0,"34.58","0",1965,97,"4.94",1898,955,"50.32",458,"19.1129.25",817,"27.6726.15",27,30,35,32,45,46,52,34,"1.421.31","1.421.62","2.021.52","1.212.02","2.432.12","2.022.63","2.632.63","2.331.11",184,"9.4822.24"
2.502e+10,5004,1988,4106,1718,"34.05",3274,2572,153,901,"5.95","35.03",726,"28.23",100,99,80,98,163,289,153,114,113,"4.93","4.88","3.95","4.83","8.04","14.26","7.55","5.62","5.57",49806,301,"14.85",2059,1975,516,1459,"26.13","73.87",84,"4.08",309421,1446,230,257,179,301,479,"15.76","17.61","12.27","20.63","32.83",822,24.9,189,60,0,"25.21","0",5035,790,"15.69",4557,2487,"54.58",1054,"17.1136.25",911,"12.7115.12",93,108,139,97,92,98,95,96,"2.322.27","2.323.01","3.952.91","2.272.52","2.611.92","1.733.11","3.061.63","1.872.86",509,"6.2428.65"
