tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,college,pctcollege,inc_0_5K,inc_5K_10K,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,poverty,pctpoverty,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,incomerent_30_more,pctincomerent_30_more,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,popu5,sameres,pctsameres,units_newres,pctunits_newres
"25017342300",5746,2318,4875,1763,30.68,4023,2838,336,813,11.84,28.65,638,22.48,405,10.07,59,64,106,93,50,83,121,84,78,134,112,160,240,440,230,110,134,2.57,2.79,4.61,4.05,2.18,3.62,5.27,3.66,3.4,5.83,4.88,6.97,10.45,19.16,10.02,4.79,5.84,60107,486,8.47,253,11.02,2480,2318,1027,1291,44.31,55.69,162,6.53,283398,1250,19,76,143,240,771,1.47,5.89,11.08,18.59,59.72,1107,363,28.12,24.700001,182,77,16,20.7,4.3,5740,5349,3485,65.15,865,37.32
"25017342400",4196,1700,3297,1175,28,2980,2028,211,450,10.4,22.19,388,19.13,369,12.38,59,64,104,101,72,62,102,76,59,72,89,92,221,247,129,56,90,3.47,3.77,6.12,5.95,4.24,3.65,6,4.47,3.47,4.24,5.24,5.41,13.01,14.54,7.59,3.3,5.3,54300,549,13.27,157,9.24,1846,1700,581,1119,34.18,65.82,146,7.91,274130,1091,44,88,125,209,625,3.93,7.86,11.17,18.68,55.85,1089,464,41.47,25.200001,124,69,18,31.36,8.18,4136,3912,2194,56.08,846,49.77
"25017342500",5702,2386,4606,1728,30.31,3864,2988,372,739,12.45,24.73,663,22.19,469,12.14,89,94,140,130,104,118,111,103,92,72,73,89,273,445,178,103,148,3.76,3.98,5.92,5.5,4.4,5,4.7,4.35,3.89,3.05,3.09,3.76,11.55,18.82,7.53,4.36,6.26,58155,653,11.52,235,9.94,2552,2386,923,1463,38.68,61.32,166,6.5,246681,1419,38,100,165,276,840,2.6,6.84,11.28,18.87,57.42,1093,660,45.11,28.1,227,87,62,21.27,15.16,5670,5298,3353,63.29,1020,42.75
"25017342600",3491,1470,3092,1048,29.65,2543,1731,258,399,14.9,23.05,398,22.99,340,13.37,23,32,100,92,47,25,66,64,40,65,52,37,173,277,179,93,68,1.61,2.24,6.98,6.43,3.29,1.75,4.62,4.48,2.8,4.54,3.63,2.59,12.09,19.36,12.51,6.5,4.75,66735,291,8.27,146,10.2,1568,1491,537,954,36.02,63.98,77,4.91,279655,932,36,61,77,129,629,3.77,6.39,8.07,13.52,65.93,1210,379,39.73,24.5,91,31,6,21.99,4.26,3520,3253,2160,66.4,706,47.35
"25017342700",1097,388,927,342,32.45,771,609,102,60,16.75,9.85,151,24.79,38,4.92,13,13,16,12,8,19,25,46,32,9,15,33,68,77,24,14,5,3.02,3.02,3.72,2.79,1.86,4.42,5.82,10.69,7.44,2.09,3.49,7.67,15.81,17.91,5.58,3.26,1.16,56361,48,4.55,0,0,406,367,152,215,41.42,58.58,39,9.61,239908,215,0,14,32,53,117,0,6.51,14.88,24.65,54.42,1014,100,46.51,31.299999,42,23,0,35.38,0,1054,967,816,84.38,125,34.06
"25017350100",7624,3054,5978,2338,30.67,5143,3833,319,1061,8.32,27.68,1018,26.56,1052,20.46,95,106,188,192,170,91,104,132,91,130,134,128,363,446,265,158,220,3.15,3.52,6.24,6.38,5.64,3.02,3.45,4.38,3.02,4.31,4.45,4.25,12.04,14.8,8.79,5.24,7.3,57950,1147,15.1,321,10.65,3227,3054,905,2149,29.63,70.37,173,5.36,271100,2122,197,231,177,298,1219,9.17,10.75,8.24,13.87,56.72,1125,813,37.83,25.9,115,19,21,9.09,10.05,7598,7128,3949,55.4,1527,50
"25017350200",6792,2598,5287,1988,29.27,4666,4055,340,1171,8.38,28.88,1198,29.54,1311,28.1,44,54,136,128,89,66,112,149,122,100,96,130,348,356,205,183,268,1.7,2.09,5.26,4.95,3.44,2.55,4.33,5.77,4.72,3.86,3.71,5.03,13.46,13.77,7.93,7.08,10.36,62594,568,8.42,203,7.85,2726,2598,938,1660,36.1,63.9,128,4.7,278051,1646,54,97,126,212,1157,3.25,5.84,7.59,12.77,69.7,1212,672,40.48,27.299999,139,16,60,5.86,21.98,6749,6430,3272,50.89,1287,49.54
"25017350300",2577,983,2006,743,29.98,1732,1391,95,375,6.83,26.96,304,21.85,223,12.88,14,19,59,54,45,56,38,35,47,51,58,39,110,191,77,57,47,1.4,1.9,5.92,5.41,4.51,5.62,3.8,3.5,4.71,5.12,5.81,3.91,11.02,19.14,7.72,5.71,4.71,57170,218,8.85,88,8.82,1087,991,485,506,48.94,51.06,96,8.83,274130,506,29,34,26,44,372,5.73,6.72,5.14,8.7,73.52,1235,238,47.04,29.1,141,66,25,28.21,10.68,2463,2330,1370,58.8,447,45.11
"25017350400",6049,2364,4036,1515,24.64,4188,3644,304,1372,8.34,37.65,1492,40.94,1630,38.92,28,34,76,83,90,49,28,57,89,107,114,140,310,404,317,185,247,1.19,1.44,3.22,3.52,3.81,2.07,1.19,2.42,3.78,4.53,4.83,5.93,13.14,17.13,13.44,7.84,10.47,72669,602,9.86,116,4.92,2432,2356,801,1555,34,66,76,3.12,326710,1531,55,93,115,194,1075,3.54,5.98,7.4,12.48,69.13,1219,565,36.34,24.9,84,13,11,13.27,11.22,6106,5850,3087,52.77,1288,54.67
"25017350500",1764,721,970,411,22.67,1213,1199,75,575,6.26,47.96,487,40.62,584,48.14,12,12,16,18,25,22,24,38,53,33,14,13,97,123,96,48,72,1.68,1.68,2.24,2.52,3.5,3.08,3.36,5.32,7.42,4.62,1.96,1.82,13.57,17.2,13.43,6.71,10.07,70567,197,10.99,41,5.73,715,682,229,453,33.58,66.42,33,4.62,327245,445,10,20,28,47,341,2.21,4.42,6.18,10.38,75.28,1403,198,43.71,26.9,45,18,0,21.18,0,1792,1760,791,44.94,386,56.59
"25017350600",4393,1065,1820,593,13.65,1829,2420,159,1280,6.57,52.89,917,37.89,653,35.7,16,19,35,41,51,27,36,56,33,34,30,32,90,170,140,90,160,1.51,1.79,3.31,3.87,4.82,2.55,3.4,5.29,3.11,3.21,2.83,3.02,8.5,16.05,13.22,8.5,15.11,77811,403,14.45,32,3.02,1129,1104,409,695,37.05,62.95,25,2.21,390341,690,2,20,44,74,550,.29,2.88,6.33,10.65,79.14,1405,300,43.16,27.200001,17,10,0,32.26,0,2789,4220,1188,28.15,507,45.92
"25017350700",6179,2721,4245,1480,23.95,4368,3533,485,1145,13.73,32.41,1040,29.44,1237,28.32,89,101,196,172,104,132,113,133,107,130,98,91,280,369,226,171,246,3.23,3.66,7.11,6.24,3.77,4.79,4.1,4.83,3.88,4.72,3.55,3.3,10.16,13.38,8.2,6.2,8.92,55348,780,12.84,225,8.16,2824,2721,707,2014,25.98,74.02,103,3.65,370913,1979,170,232,229,385,963,8.44,11.52,11.37,19.12,47.82,945,802,39.82,26.299999,36,0,8,0,9.76,6073,5857,3306,56.45,1300,47.77
"25017350800",1920,760,1298,432,22.89,1355,1105,132,390,11.95,35.29,402,36.38,501,36.98,9,11,23,32,45,15,15,15,28,30,27,32,150,80,79,41,81,1.26,1.54,3.22,4.49,6.31,2.1,2.1,2.1,3.92,4.2,3.79,4.49,21.04,11.22,11.08,5.75,11.36,68454,147,7.83,30,4.21,782,747,320,427,42.84,57.16,35,4.48,349881,419,0,15,35,59,310,0,3.51,8.2,13.82,72.6,1406,179,41.92,27.4,41,5,15,7.25,21.74,1878,1776,970,54.62,342,45.78
"25017350900",3281,1479,1860,656,19.79,2444,2246,160,1017,7.12,45.28,948,42.21,1182,48.36,38,38,37,46,62,45,74,68,36,66,77,92,176,248,162,109,131,2.52,2.52,2.46,3.05,4.11,2.99,4.91,4.51,2.39,4.39,5.12,6.11,11.69,16.48,10.76,7.24,8.7,67449,188,5.69,52,3.46,1550,1492,418,1074,28.02,71.98,58,3.74,332236,1058,10,47,90,152,759,.93,4.38,8.38,14.15,70.67,1232,404,37.61,24.4,82,23,10,18.55,8.06,3306,3204,1504,46.94,816,54.7
"25017351000",6829,2935,4118,1517,22.21,4891,4099,244,1961,5.95,47.84,1672,40.79,2160,44.16,77,75,59,68,77,60,131,143,143,162,160,217,420,460,297,162,208,2.64,2.57,2.02,2.33,2.63,2.06,4.48,4.9,4.9,5.55,5.48,7.43,14.39,15.76,10.17,5.55,7.13,63019,712,10.44,161,5.52,3045,2935,849,2086,28.93,71.07,110,3.61,312273,2059,27,87,153,258,1533,1.29,4.17,7.33,12.37,73.49,1337,840,40.27,26.700001,128,31,0,14.03,0,6817,6560,3031,46.2,1608,54.79
"25017351100",5920,2400,3838,1210,20.44,4381,3533,159,1530,4.5,43.31,1338,37.87,1677,38.28,37,43,89,80,53,75,96,105,81,106,122,144,232,521,247,178,194,1.54,1.79,3.7,3.33,2.21,3.12,3.99,4.37,3.37,4.41,5.08,5.99,9.65,21.68,10.28,7.41,8.07,71108,492,8.63,65,2.7,2530,2400,775,1625,32.29,67.71,130,5.14,300866,1605,54,106,149,250,1046,3.32,6.52,9.17,15.38,64.37,1233,573,35.26,24,155,33,16,12.18,5.9,5703,5636,2926,51.92,1245,51.87
"25017351200",8609,3413,5619,1911,22.2,5803,5010,284,1939,5.67,38.7,1673,33.39,1943,33.48,100,103,126,135,160,150,159,168,165,143,129,146,434,675,278,177,162,2.94,3.02,3.7,3.96,4.7,4.4,4.66,4.93,4.85,4.2,3.79,4.29,12.74,19.81,8.16,5.2,4.75,60685,1271,14.79,208,6.11,3579,3413,938,2475,27.48,72.52,166,4.64,258623,2432,68,125,167,281,1790,2.75,5.05,6.75,11.35,72.32,1328,1179,47.63,29.700001,144,20,19,9.52,9.05,8591,8164,3560,43.61,1927,56.46
"25017351300",4437,1966,2844,863,19.45,3196,2483,155,846,6.24,34.07,776,31.25,844,26.41,75,83,147,145,102,53,83,136,130,92,119,84,204,230,140,96,96,3.72,4.12,7.29,7.19,5.07,2.63,4.12,6.75,6.45,4.57,5.91,4.17,10.12,11.41,6.95,4.76,4.76,48188,449,10.2,209,10.37,2087,1966,463,1503,23.55,76.45,121,5.8,335087,1497,165,188,136,229,778,10.98,12.51,9.05,15.24,51.76,1041,718,47.77,29.4,76,12,9,10.43,7.83,4400,4235,1995,47.11,1100,55.95
"25017351400",7804,2926,6309,2289,29.11,5155,4077,323,994,7.92,24.38,718,17.61,731,14.18,87,99,196,178,134,163,129,152,140,140,128,102,311,400,295,144,144,2.96,3.37,6.66,6.05,4.56,5.54,4.38,5.16,4.76,4.76,4.35,3.47,10.57,13.6,10.03,4.89,4.89,51604,1006,12.85,404,13.73,3115,2943,883,2060,30,70,172,5.52,253633,2049,202,239,187,314,1108,9.81,11.6,9.08,15.24,53.79,1068,916,44.47,28.200001,254,100,22,24.94,5.49,7828,7328,3727,50.86,1602,54.43
"25017351500",2032,934,1319,469,23.76,1412,1049,63,331,6.01,31.55,253,24.12,263,18.63,23,33,114,106,57,28,37,27,31,49,35,25,67,152,52,29,62,2.48,3.56,12.3,11.44,6.15,3.02,3.99,2.92,3.35,5.28,3.78,2.7,7.23,16.4,5.61,3.13,6.69,46184,312,15.85,105,11.33,958,917,278,639,30.32,69.68,41,4.28,315125,623,113,108,45,75,283,17.68,16.9,7.04,11.74,44.29,1014,336,52.58,31.799999,7,7,0,53.85,0,1968,1902,949,49.89,528,57.58
"25017352100",2098,975,1362,385,17.65,1628,1161,99,368,8.53,31.7,468,40.31,630,38.7,14,17,42,47,67,52,36,41,28,27,41,57,112,161,62,52,158,1.38,1.67,4.14,4.63,6.6,5.12,3.54,4.04,2.76,2.66,4.04,5.61,11.02,15.85,6.1,5.12,15.55,64373,75,3.72,62,6.1,1226,962,359,603,37.32,62.68,264,21.53,218520,596,58,74,66,111,287,9.62,12.27,10.95,18.41,47.6,948,166,27.53,21.299999,42,9,0,9.18,0,2015,2077,886,42.66,581,60.4
"25017352200",1736,926,1121,330,19.86,1265,722,66,273,9.14,37.81,190,26.32,279,22.05,23,33,112,96,36,28,29,49,44,27,27,25,87,62,76,51,21,2.77,3.98,13.5,11.57,4.34,3.38,3.5,5.91,5.31,3.26,3.25,3.01,10.48,7.47,9.16,6.14,2.53,40435,118,7.1,160,19.28,1047,918,172,746,18.74,81.26,129,12.32,262544,740,188,176,66,111,199,25.2,23.59,8.85,14.88,26.68,595,255,34.19,27.700001,20,8,14,13.56,23.73,1662,1581,845,53.45,444,48.36
"25017352300",1946,832,1369,439,22.66,1450,1284,96,471,7.48,36.68,413,32.17,564,38.89,30,32,44,38,20,27,39,45,43,40,43,24,71,157,80,56,92,3.41,3.64,5,4.32,2.28,3.07,4.43,5.11,4.89,4.55,4.89,2.73,8.07,17.84,9.09,6.36,10.45,63225,150,7.74,81,9.2,924,853,336,517,39.39,60.61,71,7.68,286428,507,71,74,44,73,245,13.73,14.31,8.51,14.12,47.39,995,197,38.1,24.9,43,7,27,5.74,22.13,1937,1840,891,48.42,461,54.05
"25017352400",2108,711,1786,892,42.6,1041,727,17,261,2.34,35.9,179,24.62,236,22.67,38,41,63,57,41,52,55,56,34,22,34,42,71,53,20,18,17,5.32,5.74,8.82,7.98,5.74,7.28,7.7,7.84,4.76,3.08,4.76,5.88,9.94,7.42,2.8,2.52,2.38,35712,591,28.45,158,22.13,830,742,66,676,8.89,91.11,88,10.6,374834,676,158,157,76,128,156,23.37,23.22,11.24,18.93,23.08,665,263,38.9,27.9,23,6,0,22.22,0,2077,1833,669,36.5,467,62.94
"25017352500",2636,1016,1922,821,30.98,1786,1392,99,517,7.11,37.14,480,34.48,537,30.07,46,44,25,35,57,55,67,62,53,46,49,40,115,72,100,56,110,4.46,4.26,2.42,3.39,5.52,5.33,6.49,6.01,5.13,4.46,4.75,3.88,11.14,6.98,9.69,5.43,10.66,52351,325,12.47,87,8.43,1106,985,270,715,27.41,72.59,121,10.94,341860,698,57,78,79,133,351,7.97,10.91,11.05,18.6,49.09,993,270,37.77,24.5,42,21,0,25.3,0,2607,2499,1529,61.18,432,43.86
"25017352600",2664,958,2194,903,33.9,1697,1471,48,501,3.26,34.06,318,21.62,266,15.68,27,29,41,45,42,18,32,36,34,41,66,88,143,145,95,42,43,2.8,3.01,4.25,4.67,4.36,1.87,3.31,3.74,3.53,4.25,6.85,9.13,14.83,15.04,9.85,4.36,4.46,59179,277,10.4,73,7.57,1019,958,274,684,28.6,71.4,61,5.99,315481,679,46,83,108,181,260,6.73,12.13,15.79,26.46,38.01,891,188,27.48,23.299999,40,0,0,0,0,2664,2512,1471,58.56,391,40.81
"25017352700",2296,966,1617,622,28.31,1590,1184,81,441,6.84,37.25,318,26.86,339,21.32,43,49,94,86,59,51,28,49,44,13,40,63,106,81,71,67,44,4.37,4.97,9.54,8.73,5.99,5.18,2.84,4.97,4.47,1.32,4.06,6.4,10.76,8.22,7.21,6.8,4.47,43445,345,15.7,138,14.01,1042,956,196,760,20.5,79.5,86,8.25,298549,760,128,138,87,146,261,16.84,18.16,11.45,19.21,34.34,797,228,30,22.9,20,5,5,16.13,16.13,2197,2082,1301,62.49,388,40.59
"25017352800",2342,875,2092,839,34.37,1556,1279,90,411,7.04,32.13,336,26.27,389,25,15,17,31,35,41,25,24,17,33,57,51,59,115,126,95,46,49,1.79,2.03,3.7,4.18,4.9,3,2.88,2.04,3.95,6.82,6.1,7.06,13.76,15.07,11.36,5.5,5.86,60978,126,5.22,76,9.09,907,885,282,603,31.86,68.14,22,2.43,283042,556,71,93,87,145,160,11.77,15.42,14.43,24.05,26.53,749,172,28.53,21.5,52,19,7,18.81,6.93,2412,2253,1209,53.66,384,43.39
"25017352900",2609,1244,1230,299,11.96,2095,1693,147,887,8.68,52.39,1026,60.6,1354,64.63,23,25,39,37,25,32,54,28,48,80,43,35,128,217,129,92,246,1.79,1.95,3.04,2.89,1.95,2.5,4.21,2.18,3.75,6.24,3.35,2.73,9.98,16.93,10.06,7.18,19.19,79333,205,8.48,23,1.79,1240,1165,514,651,44.12,55.88,75,6.05,508869,635,29,55,76,127,347,4.45,8.45,11.67,19.51,53.3,1057,201,30.87,23.299999,57,7,15,7.87,16.85,2417,2394,1097,45.82,695,59.66
"25017353000",3546,1785,1776,636,17.4,2694,1950,99,1033,5.08,52.97,1018,52.21,1450,53.82,81,87,132,132,103,50,75,77,69,49,35,40,185,253,143,77,169,4.61,4.95,7.52,7.52,5.86,2.85,4.27,4.39,3.93,2.79,1.99,2.28,10.54,14.41,8.14,4.38,9.62,53278,641,18.35,183,10.42,1959,1864,413,1451,22.16,77.84,95,4.85,390698,1429,218,243,165,278,525,15.02,16.75,11.37,19.16,36.18,879,510,35.15,24,44,21,0,38.89,0,3493,3448,1599,46.37,1135,60.89
"25017353100",7123,1471,2319,624,8.76,2827,3758,99,2446,2.63,65.09,1168,31.08,1809,63.99,51,51,51,57,73,54,67,84,86,101,97,68,194,141,97,48,110,3.57,3.57,3.57,3.99,5.11,3.78,4.69,5.88,6.02,7.07,6.78,4.76,13.57,9.86,6.78,3.36,7.69,51981,680,19.4,54,3.78,1588,1471,94,1377,6.39,93.61,117,7.37,269318,1348,50,93,126,212,867,3.63,6.75,9.15,15.4,62.96,1153,546,39.65,26,10,0,0,0,0,3506,6873,913,13.28,967,65.74001
"25017353200",2814,1285,1646,592,21.01,2024,1663,128,706,7.7,42.45,727,43.72,925,45.7,41,49,110,106,82,58,39,48,49,38,25,48,120,167,121,93,109,3.14,3.76,8.43,8.12,6.28,4.45,2.99,3.68,3.75,2.92,1.92,3.68,9.2,12.81,9.28,7.13,8.36,56445,475,17.07,171,13.11,1366,1303,417,886,32,68,63,4.61,401035,886,153,155,81,136,360,17.27,17.49,9.14,15.35,40.63,866,316,35.67,26.700001,60,13,15,14.61,16.85,2783,2646,1246,47.09,639,49.04
"25017353300",3476,1637,2142,657,18.92,2720,2260,125,1179,5.53,52.17,1030,45.58,1390,51.1,35,35,38,54,94,66,68,70,57,75,87,92,174,239,180,113,158,2.14,2.14,2.32,3.3,5.74,4.03,4.15,4.28,3.48,4.59,5.32,5.62,10.64,14.61,11,6.91,9.66,63454,258,7.43,60,3.67,1719,1619,514,1105,31.75,68.25,100,5.82,327780,1094,88,133,150,251,472,7.96,12.04,13.57,22.71,42.71,888,269,24.35,20.6,101,24,19,14.04,11.11,3472,3348,1791,53.49,863,53.31
"25017353400",2303,936,1618,614,27.31,1450,1255,45,583,3.59,46.45,466,37.13,684,47.18,7,11,35,32,18,31,63,70,69,81,85,71,91,125,42,36,46,.77,1.21,3.83,3.51,1.98,3.4,6.91,7.68,7.57,8.88,9.32,7.79,9.98,13.71,4.61,3.95,5.04,52158,218,9.83,37,4.06,977,944,190,754,20.13,79.87,33,3.38,296766,745,47,66,69,116,447,6.23,8.75,9.15,15.38,59.28,1130,340,45.1,27.799999,47,5,4,9.8,7.84,2218,2088,1078,51.63,480,50.85
"25017353500",2391,1164,1537,586,23.96,1845,1429,83,680,5.81,47.59,665,46.54,881,47.75,26,30,61,74,93,42,55,87,69,43,22,35,143,126,60,60,161,2.19,2.52,5.13,6.23,7.82,3.53,4.63,7.32,5.8,3.61,1.85,2.94,12.03,10.6,5.05,5.05,13.54,51602,267,10.92,127,10.68,1264,1156,337,819,29.15,70.85,108,8.54,391411,807,93,114,95,160,345,11.36,13.92,11.6,19.54,42.12,904,315,38.46,25.299999,68,15,9,14.85,8.91,2446,2304,1155,50.13,599,51.82
"25017353600",4716,1644,1603,462,9.8,2923,2398,93,1521,3.88,63.43,1513,63.09,2461,84.19,21,22,35,41,63,83,91,97,65,44,55,94,117,249,151,81,310,1.29,1.36,2.16,2.53,3.89,5.11,5.61,5.98,4.01,2.71,3.39,5.8,7.21,15.35,9.31,4.99,19.11,72016,212,6.93,17,1.05,1711,1644,458,1186,27.86,72.14,67,3.92,712952,1166,22,85,158,265,635,1.85,7.17,13.32,22.34,53.54,1046,419,35.33,24.700001,132,64,0,36.36,0,3061,4581,1381,30.15,935,56.87
"25017353700",5323,1753,1251,317,5.96,2742,3113,132,2110,4.24,67.78,1445,46.42,1845,67.28,42,44,61,62,69,68,76,106,102,97,84,100,217,237,129,78,180,2.4,2.51,3.48,3.54,3.93,3.88,4.34,6.05,5.82,5.53,4.79,5.71,12.39,13.53,7.36,4.45,10.27,58367,261,9,58,3.31,1823,1753,420,1333,23.96,76.04,70,3.84,488194,1325,64,146,223,375,517,4.8,10.95,16.73,28.13,38.78,850,445,33.39,23.299999,57,35,0,42.68,0,2901,5239,1224,23.36,1105,63.04
"25017353800",4395,2660,1760,359,8.17,3704,3038,262,1714,8.62,56.42,1875,61.72,2766,74.67,50,54,84,84,80,91,120,137,104,129,113,127,390,430,228,139,294,1.88,2.04,3.17,3.17,3.02,3.43,4.52,5.17,3.92,4.87,4.26,4.79,14.7,16.21,8.59,5.24,11.08,65775,378,8.77,104,3.92,2848,2660,668,1992,25.11,74.89,188,6.6,506196,1949,51,155,269,451,1023,2.56,7.78,13.5,22.64,51.36,1007,725,36.39,24.200001,81,33,6,32.67,5.94,4310,4206,1649,39.21,1684,63.31
"25017353900",5481,1169,1127,303,5.53,1744,2832,62,1910,2.19,67.44,1157,40.85,1370,78.56,69,71,83,79,55,43,61,44,52,58,34,39,135,130,63,65,57,6.06,6.23,7.29,6.94,4.83,3.78,5.36,3.86,4.57,5.09,2.99,3.42,11.85,11.41,5.53,5.71,5,45832,456,21.18,41,3.6,1228,1169,97,1072,8.3,91.7,59,4.8,416542,1063,54,82,92,155,680,5.04,7.65,8.58,14.46,63.43,1264,531,49.53,32.799999,23,14,0,40,0,2153,5374,595,11.07,872,74.6
"25017354000",4473,2058,1408,323,7.22,2809,2848,234,1698,8.22,59.62,1857,65.2,2280,81.16,47,50,73,67,64,91,71,57,56,114,87,122,254,245,173,101,391,2.28,2.42,3.53,3.24,3.1,4.41,3.44,2.77,2.71,5.52,4.22,5.91,12.31,11.87,8.38,4.89,18.94,65367,291,8.81,30,1.45,2147,2058,709,1349,34.45,65.55,89,4.15,835223,1303,46,121,197,330,609,3.41,8.97,14.6,24.46,45.14,948,439,32.55,22.299999,69,0,20,0,12.58,3303,4349,1452,33.39,1147,55.73
"25017354100",2883,1569,1520,351,12.17,2450,1890,189,1111,10,58.78,1277,67.57,1914,78.13,39,39,37,37,35,38,47,61,57,50,51,36,224,189,122,101,412,2.47,2.47,2.35,2.35,2.22,2.42,2.99,3.87,3.62,3.17,3.24,2.28,14.21,11.99,7.74,6.41,26.14,79350,142,5.33,45,2.86,1694,1569,695,874,44.3,55.7,125,7.38,891192,825,32,84,137,230,341,3.66,9.61,15.68,26.32,39.02,938,268,30.67,21.9,114,29,8,16.48,4.55,2662,2790,1238,44.37,911,58.06
"25017354200",3110,1322,2291,695,22.35,2405,1820,184,1060,10.11,58.24,1351,74.23,1991,82.78,20,19,11,17,33,26,26,27,19,18,32,23,70,108,149,142,592,1.5,1.43,.83,1.28,2.48,1.96,1.96,2.03,1.43,1.35,2.41,1.73,5.26,8.12,11.2,10.68,44.51,134020,130,4.25,27,2.03,1388,1322,902,420,68.23,31.77,66,4.76,891192,393,3,13,23,39,315,.71,3.1,5.48,9.29,75,1642,96,22.86,22,270,94,47,19.62,9.81,3056,2977,1974,66.31,450,34.04
"25017354300",3451,1475,2449,895,25.93,2583,1677,108,812,6.44,48.42,797,47.53,1020,39.49,31,33,53,55,53,55,82,74,52,87,72,47,117,180,159,112,211,2.1,2.24,3.59,3.73,3.6,3.73,5.56,5.02,3.53,5.9,4.88,3.19,7.94,12.21,10.79,7.6,14.31,65611,302,9.21,88,5.97,1526,1475,541,934,36.68,63.32,51,3.34,427949,914,72,101,103,173,465,7.71,10.81,11.03,18.52,49.79,1028,342,36.62,25.9,110,27,6,15.98,3.55,3279,3228,1806,55.95,677,45.89
"25017354400",1740,766,1171,423,24.59,1323,1051,69,547,6.57,52.05,603,57.37,811,61.3,6,9,31,26,10,21,16,12,15,17,32,30,117,80,91,61,159,.82,1.23,4.23,3.54,1.36,2.86,2.19,1.64,2.05,2.31,4.37,4.09,15.96,10.91,12.41,8.32,21.69,83786,126,7.34,27,3.68,827,808,359,449,44.43,55.57,19,2.3,587472,438,0,18,41,69,310,0,4.01,9.13,15.37,69.04,1308,175,38.97,26.700001,25,5,0,10,0,1716,1613,949,58.83,377,46.66
"25017354500",2427,1256,1364,405,16.55,1867,1489,152,881,10.21,59.17,1019,68.44,1486,79.59,36,34,23,29,51,57,40,47,34,47,51,83,169,138,108,86,264,2.78,2.62,1.78,2.24,3.93,4.39,3.09,3.63,2.62,3.63,3.94,6.4,13.04,10.65,8.33,6.64,20.37,68997,199,8.13,43,3.32,1284,1214,392,822,32.29,67.71,70,5.45,891192,809,39,80,115,194,381,4.74,9.73,13.99,23.6,46.35,888,262,31.88,22.299999,118,11,6,6.21,3.39,2447,2346,1235,52.64,553,45.55
"25017354600",4037,1827,2889,994,24.62,2945,2210,148,1007,6.7,45.57,1160,52.49,1377,46.76,36,39,63,76,93,53,73,92,95,89,49,100,217,255,176,81,226,1.98,2.15,3.47,4.19,5.13,2.92,4.02,5.07,5.24,4.91,2.7,5.51,11.96,14.06,9.7,4.47,12.46,63530,287,7.3,95,5.24,1898,1827,569,1258,31.14,68.86,71,3.74,432405,1237,72,130,173,290,572,5.72,10.33,13.75,23.05,45.47,991,349,27.74,22,117,26,6,12.62,2.91,3931,3834,2235,58.29,762,41.71
"25017354700",2189,1002,1382,482,22.16,1579,1370,83,686,6.06,50.07,726,52.99,946,59.92,15,17,35,36,30,21,27,26,17,7,16,30,147,135,138,95,167,1.56,1.77,3.65,3.76,3.13,2.19,2.81,2.71,1.78,.73,1.67,3.13,15.33,14.08,14.39,9.91,17.41,86542,98,4.56,62,6.47,1069,1009,386,623,38.26,61.74,60,5.61,511543,623,57,63,42,70,391,9.15,10.11,6.74,11.24,62.76,1148,88,14.13,21.4,100,56,0,56,0,2150,1993,830,41.65,570,56.49
"25017354800",1971,954,1175,396,19.95,1518,1285,53,590,4.12,45.91,610,47.47,817,53.82,13,14,27,30,35,32,45,46,52,34,31,52,64,121,146,110,136,1.31,1.42,2.73,3.04,3.54,3.23,4.55,4.65,5.26,3.44,3.13,5.26,6.47,12.23,14.76,11.12,13.75,81266,97,4.94,26,2.63,991,947,367,580,38.75,61.25,44,4.44,354337,574,39,57,62,104,311,6.72,9.83,10.69,17.93,53.62,1053,184,31.72,22.200001,90,37,0,34.58,0,1965,1898,955,50.32,458,48.36
