tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,college,pctcollege,inc_0_5K,inc_5K_10K,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,poverty,pctpoverty,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,incomerent_30_more,pctincomerent_30_more,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,popu5,sameres,pctsameres,units_newres,pctunits_newres
"25025070300",3337,1741,1120,226,6.61,2773,2411,374,819,15.51,33.97,1174,48.69,1543,55.65,46,56,135,116,55,71,51,55,67,48,37,53,140,171,170,136,380,2.58,3.14,7.56,6.49,3.08,3.98,2.85,3.08,3.75,2.68,2.07,2.97,7.84,9.57,9.52,7.61,21.28,71578,557,16.3,168,9.41,2065,1769,613,1156,34.65,65.35,296,14.33,635240,1150,109,113,64,108,756,9.43,9.78,5.54,9.34,65.4,1278,610,52.77,30.9,96,15,0,13.39,0,3417,3368,1187,35.24,1198,67.72
"25025070400",1795,557,1452,594,34.64,1064,644,65,102,10.09,15.84,44,6.83,25,2.35,38,41,69,66,47,31,36,40,31,32,24,5,41,22,19,0,0,7.04,7.59,12.78,12.22,8.71,5.74,6.67,7.41,5.74,5.93,4.44,.93,7.59,4.07,3.52,0,0,26788,496,30.28,173,32.04,577,529,0,529,0,100,48,8.32,0,529,126,135,85,143,40,23.82,25.52,16.07,27.03,7.56,610,185,34.97,25.299999,0,0,0,,,1638,1588,1097,69.08,222,41.97
"25025070500",5810,2547,3491,1457,25.08,3995,3259,401,1085,12.3,33.29,1271,39,1600,40.05,104,115,200,168,60,94,116,90,132,121,142,138,227,254,187,109,289,4.08,4.52,7.86,6.6,2.36,3.69,4.56,3.53,5.18,4.75,5.58,5.42,8.92,9.98,7.34,4.28,11.35,52893,1175,20.32,444,17.44,2798,2547,566,1981,22.22,77.78,251,8.97,538992,1971,325,317,142,239,948,16.41,16,7.17,12.06,47.85,957,780,39.37,26.1,27,13,7,31.71,17.07,5783,5552,2294,41.32,1561,61.29
"25025070600",2400,1280,1001,347,14.78,1869,1898,234,723,12.33,38.09,1089,57.38,1216,65.06,10,12,29,27,19,18,32,42,30,30,38,45,132,193,127,122,353,.8,.96,2.3,2.15,1.52,1.44,2.55,3.34,2.39,2.39,3.03,3.58,10.51,15.37,10.11,9.71,28.11,95755,107,4.56,45,3.58,1421,1298,460,838,35.44,64.56,123,8.66,751095,826,23,37,45,76,645,2.76,4.44,5.4,9.11,77.34,1527,288,34.54,26,32,10,17,14.71,25,2348,2281,842,36.91,826,63.64
"25025070700",2146,1074,1307,509,23.16,1488,1350,203,450,15.04,33.33,573,42.44,763,51.28,25,29,55,54,38,17,49,54,46,66,49,29,66,113,102,88,207,2.3,2.67,5.05,4.96,3.49,1.56,4.5,4.96,4.23,6.07,4.5,2.67,6.07,10.39,9.38,8.09,19.03,65019,258,11.88,45,4.14,1163,1056,330,726,31.25,68.75,107,9.2,813300,726,65,78,64,107,413,8.95,10.74,8.82,14.74,56.89,1134,219,30.16,25.700001,65,32,0,43.84,0,2171,2086,803,38.49,687,65.06
"25025070800",3274,1816,1456,472,14.45,2226,2131,248,759,11.64,35.62,1178,55.28,1202,54,42,49,102,98,85,80,77,88,93,79,52,74,136,217,113,84,260,2.43,2.84,5.9,5.67,4.92,4.63,4.46,5.09,5.38,4.58,3.01,4.28,7.87,12.56,6.54,4.86,15.05,56825,474,14.55,181,10.47,2051,1774,328,1446,18.49,81.51,277,13.51,514929,1437,165,185,128,214,745,11.41,12.79,8.85,14.8,51.52,1048,637,44.05,28.4,22,0,6,0,21.43,3258,3116,1381,44.32,1129,63.64
"25025070900",2840,1386,1418,666,23.42,1906,1718,176,559,10.24,32.54,708,41.21,814,42.7,60,64,98,91,50,21,58,70,79,58,49,40,118,159,155,109,85,4.4,4.69,7.19,6.68,3.67,1.54,4.25,5.13,5.8,4.25,3.59,2.93,8.65,11.66,11.36,7.99,6.23,53578,572,20.11,200,14.66,1527,1343,253,1090,18.84,81.16,184,12.05,407452,1090,176,166,66,111,571,16.15,15.23,6.06,10.18,52.39,1048,368,33.76,26.1,13,6,0,30,0,2844,2699,1337,49.54,753,56.07
"25025071000",1807,928,639,155,7.67,1596,1414,122,556,8.63,39.32,623,44.06,723,45.3,58,59,65,57,26,35,55,43,44,51,54,106,111,140,49,39,85,5.4,5.49,6.05,5.3,2.42,3.26,5.12,4,4.1,4.75,5.03,9.87,10.34,13.04,4.56,3.63,7.91,54208,429,21.59,77,7.17,1142,985,169,816,17.16,82.84,157,13.75,295162,816,23,59,95,160,478,2.82,7.23,11.64,19.61,58.58,1144,359,43.99,28.5,17,7,0,24.14,0,1987,1944,585,30.09,601,61.01
"25025071100",742,372,237,93,12.74,534,256,8,127,3.12,49.61,129,50.39,148,27.72,49,54,92,71,0,7,19,8,6,5,5,2,0,33,0,0,13,13.46,14.84,25.27,19.5,0,1.92,5.22,2.2,1.65,1.37,1.37,.55,0,9.07,0,0,3.57,12320,356,50.71,163,44.78,433,384,10,374,2.6,97.4,49,11.32,0,374,134,116,25,41,57,35.83,31.02,6.68,10.96,15.24,332,182,48.66,29.9,0,0,0,,,702,703,260,36.98,230,59.9
"25025071200",1683,529,822,446,30.03,1010,431,7,109,1.62,25.29,91,21.11,224,22.18,34,43,110,89,12,9,21,12,28,20,2,3,32,28,16,6,0,7.33,9.27,23.71,19.18,2.59,1.94,4.52,2.58,6.04,4.31,.43,.65,6.9,6.03,3.45,1.29,0,15711,865,58.25,173,37.28,780,545,9,536,1.65,98.35,235,30.13,0,515,198,165,22,38,92,36.94,30.78,4.1,7.09,17.16,324,164,30.6,27.1,0,0,0,,,1485,1400,608,43.43,293,53.76
"25025080100",314,140,251,117,41.64,182,71,0,13,0,18.31,9,12.68,13,7.14,8,8,6,7,11,16,23,11,0,0,0,7,11,7,4,0,0,6.78,6.78,5.08,5.93,9.32,13.55,19.49,9.32,0,0,0,5.93,9.32,5.93,3.39,0,0,30743,71,25.27,75,63.56,134,124,31,93,25,75,10,7.46,0,90,16,17,11,18,29,17.2,18.28,11.83,19.35,31.18,665,59,63.44,33,0,0,0,,,281,281,160,56.94,76,61.3
"25025080200",1585,442,1417,621,39.03,879,552,50,101,9.06,18.3,104,18.84,61,6.94,23,27,55,48,17,8,7,17,29,14,19,36,39,49,34,19,14,5.05,5.93,12.08,10.55,3.74,1.76,1.54,3.74,6.38,3.08,4.18,7.91,8.57,10.77,7.47,4.18,3.08,43948,493,30.99,158,34.73,509,445,130,315,29.21,70.79,64,12.57,245077,301,34,39,30,50,148,11,12.62,9.71,16.18,47.9,1000,142,45.96,30,38,8,0,13.33,0,1591,1378,820,59.51,240,53.94
"25025080300",2403,738,2354,1156,45.39,1209,598,95,160,15.89,26.76,97,16.22,76,6.29,42,48,95,90,56,27,40,22,44,48,45,30,46,85,18,10,0,5.61,6.42,12.7,12.03,7.49,3.61,5.35,2.94,5.88,6.42,6.02,4.01,6.15,11.36,2.41,1.34,0,31312,1226,48.14,218,29.14,822,674,86,588,12.76,87.24,148,18,237056,560,138,135,61,102,124,23.67,23.16,10.46,17.5,21.27,583,173,29.67,25,14,0,9,0,33.33,2547,2284,1179,51.62,312,46.29
