tractid10,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_200K,pctinc_200K_more,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres_2010,pctincomerent_30_more,medhhincome,medianvalue,medianrent,medianpctincomerent
"25017382602",4005,1734,29.64,1.01,8.72,21.9,58.41,62.73,2.94,7.04,2.71,3.86,5.94,3.75,4.27,2.54,1.27,3,6.98,13.78,8.36,9.92,12.69,10.96,2.421973,2.02,1778,83.39,16.61,2.47,22.02,33.21,20.58,0,0,9.75,11.55,2.89,28.35,8.58,91.64,8.068949,37.85,85049,422700,539,27.700001
"25017383101",3751,1318,22.05,4.4,7.16,14.62,20.31,24.43,16.69,6.45,3.19,7.74,10.62,3.57,.91,2.2,6.53,6.83,10.55,15.02,8.88,.83,0,0,26.20865,2.66,1344,26.25,73.75,1.93,16.37,13.14,4.48,36.7,11.05,7.4,10.84,0,47.69,5.49,66.87,22.9582,53.7,43448,299200,911,31.799999
"25017383102",4545,1651,39.67,.63,4.93,10.03,16,17.98,13.33,12.3,3.69,13.14,9.33,5.94,4.6,3.27,3.63,9.81,8.54,5.45,4.78,1.64,.55,0,27.19396,11.99,1754,11.57,88.43,5.87,16.68,13.96,14.17,11.58,18.07,13.54,12,0,44.5,4.19,74.77,15.04951,58.63,29162,309300,852,33.5
"25017383200",5901,2056,26.84,1.03,3.9,13.09,28.52,30.9,10.41,2.82,1.02,5.01,6.03,4.18,3.6,4.09,3.6,12.35,8.27,14.49,10.7,4.77,6.13,2.53,11.01519,5.01,2195,49.08,50.92,6.33,4.43,6.35,8.08,21.75,12.13,22.14,20.6,4.52,29.93,7.04,83.67,9.754374,43.07,56474,284900,1193,29.6
"25017383300",3120,1248,18.08,1.62,5.9,26.72,28.86,32.54,6.01,6.01,4.81,5.37,6.57,4.33,5.21,3.45,.4,7.13,14.66,11.06,10.66,6.17,5.05,3.12,16.1578,.4,1365,42.07,57.93,8.57,7.77,7.06,7.34,19.49,16.95,20.62,8.05,12.71,35.62,4.19,83.34,14.949,56.57,62614,354100,1123,36.599998
"25017383400",5375,2296,23.05,0,9.4,20.95,28.92,33.57,2.83,6.75,4.22,7.01,4.36,8.84,4.27,3.66,7.67,5.1,10.45,10.32,10.98,5.97,4.66,2.92,8.728509,.91,2358,35.37,64.63,2.63,1.55,10.71,4.04,21.63,23.65,15.63,15.09,7.68,25.99,0,69.42,14.90458,46.63,50804,276700,1127,28.5
"25017383501",4652,2092,30.78,3.09,1.29,26.77,41.56,41.16,14.05,12.95,6.26,2.87,2.06,1.72,2.53,1.15,2.53,3.97,11.23,9.13,6.84,9.56,10.56,2.58,10.89854,6.26,2138,28.35,71.65,2.15,23.51,17.09,3.14,7.38,7.18,18.39,16.88,6.43,38.79,2.02,81,17.4306,39.43,59773,332100,977,27.1
"25017383502",4272,1073,11.21,4.48,4.07,12.26,35.87,54.31,3.73,10.72,4.57,4.38,4.85,2.33,4.66,2.7,4.1,0,10.44,13.61,10.25,5.13,10.34,8.2,5.78216,0,1091,65.42,34.58,1.65,10.83,29.17,0,10,19.44,1.39,23.89,5.28,24.93,4.84,82.72,2.515723,74.67,73877,351200,1000,38
"25017383600",6026,2386,28.01,1.46,11.31,14.41,37.26,45.38,6.12,2.68,4.19,5.87,7.71,2.05,2.39,6.2,3.19,4.23,8.21,11.61,11.06,8.34,12.7,3.44,10.83744,5.24,2507,55.53,44.47,4.83,6.77,5.73,9.35,18.13,24.05,19.47,11.35,5.15,27.25,7.17,81.71,9.652851,55.52,69817,352900,1104,34.900002
"25017383700",5037,2066,27.85,1.63,7.17,17.54,41.48,44.64,3.1,3.97,2.76,4.79,1.21,5.61,6.34,2.23,5.08,7.21,11.47,12.25,10.41,8.03,10.84,4.7,3.328655,.58,2128,80.69,19.31,2.91,0,7.77,24.56,0,16.04,31.33,20.3,0,26.63,9.6,86.86,1.902283,67.41,68478,333800,1263,34.900002
